name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-127,YES,0,7,7,7,33,18,20
GENE-155,YES,0,68,60,72,59,73,85
GENE-199,YES,0,24,16,30,5,4,3
GENE-333,YES,0,23,21,28,18,39,19
GENE-892,YES,0,429,409,387,92,83,89
GENE-1003,YES,0,416,622,631,834,770,1065
GENE-1017,YES,0,4,11,4,34,58,60
GENE-1059,YES,0,593,415,539,1495,1996,1725
GENE-1077,YES,0,39,25,35,55,54,49
GENE-1131,YES,0,11,11,7,92,110,102
GENE-1184,YES,0,77,104,88,29,26,21
GENE-1209,YES,0,350,20,367,302,1523,144
GENE-1321,YES,0,372,173,280,311,257,247
GENE-1328,YES,0,952,1030,928,1957,2439,2671
GENE-1447,YES,0,2122,2549,1875,50,42,29
GENE-1511,YES,0,4070,3911,3680,1784,1651,1218
GENE-1650,YES,0,5,7,3,25,43,59
GENE-1785,YES,0,290,162,303,774,399,594
GENE-1841,YES,0,52,54,40,78,79,86
GENE-1908,YES,0,90,105,59,69,51,51
GENE-1928,YES,0,592,688,723,3541,6902,4123
GENE-1950,YES,0,16,18,24,31,20,20
GENE-1952,YES,0,719,748,803,1491,1551,1598
GENE-1958,YES,0,8,12,7,23,27,21
GENE-1975,YES,0,923,853,578,665,484,491
GENE-1979,YES,0,57,15,46,1125,879,900
GENE-1984,YES,0,209,253,257,1714,1759,2020
GENE-2143,YES,0,34,17,16,8,3,10
GENE-2275,YES,0,3241,2653,3595,20244,14863,22179
GENE-2455,YES,0,288,289,195,34,37,18
GENE-2492,YES,0,233,179,288,175,133,165
GENE-2556,YES,0,49,48,54,97,79,53
GENE-2675,YES,0,5,0,1,38,38,40
GENE-2779,YES,0,184,149,218,379,377,295
GENE-2832,YES,0,88,86,76,51,89,65
GENE-2897,YES,0,1945,2389,2390,2188,2343,1801
GENE-2904,YES,0,14,11,20,8,9,4
GENE-2926,YES,0,17,22,14,66,109,47
GENE-3037,YES,0,151,139,162,257,241,223
GENE-3093,YES,0,2912,3187,3083,3919,3318,3967
GENE-3276,YES,0,9,8,11,21,20,25
GENE-3710,YES,0,240,318,265,13,10,15
GENE-3785,YES,0,2643,2219,1542,427,374,277
GENE-3816,YES,0,515,280,1269,333,936,1437
GENE-3913,YES,0,112,123,126,739,643,525
GENE-3945,YES,0,59,47,90,1340,306,557
GENE-4012,YES,0,22,16,12,107,77,83
GENE-4063,YES,0,238,261,219,254,278,234
GENE-4073,YES,0,2136,929,1440,3421,3034,5191
GENE-4128,YES,0,57,74,107,140,130,176
GENE-4263,YES,0,714,497,656,792,637,711
GENE-4271,YES,0,238,100,513,297,675,542
GENE-4562,YES,0,35,36,33,1,1,2
GENE-4633,YES,0,466,443,412,1379,1248,1369
GENE-4641,YES,0,31,26,34,15,25,25
GENE-4710,YES,0,413,353,443,2141,2117,2450
GENE-4803,YES,0,10194,7725,8098,4897,6055,6900
GENE-4960,YES,0,26,20,11,39,42,24
GENE-4994,YES,0,107,96,97,1845,1878,1711
GENE-5176,YES,0,756,1164,1090,102,132,148
GENE-5341,YES,0,184,160,161,430,530,374
GENE-5350,YES,0,518,917,518,56,39,33
GENE-5352,YES,0,2879,2091,3698,403,344,427
GENE-5361,YES,0,12,19,13,78,68,42
GENE-5389,YES,0,57,60,56,10,4,15
GENE-5501,YES,0,49,44,28,4,4,0
GENE-5549,YES,0,6,12,7,29,26,25
GENE-5561,YES,0,351,311,437,15,12,26
GENE-5578,YES,0,3285,3179,3226,786,635,679
GENE-5619,YES,0,146,69,225,4,0,4959
GENE-5713,YES,0,21,24,18,122,158,149
GENE-5837,YES,0,220,237,158,9,4,11
GENE-5863,YES,0,198,162,283,10,14,21
GENE-5987,YES,0,206,148,331,73,54,155
GENE-6026,YES,0,95,82,97,155,154,171
GENE-6124,YES,0,11,29,24,6,8,9
GENE-6277,YES,0,8,3,5,75,93,58
GENE-6408,YES,0,4,5,7,49,60,56
GENE-6449,YES,0,359,285,317,1142,1488,1074
GENE-6469,YES,0,93,183,143,162,132,206
GENE-6492,YES,0,87,48,43,8,7,5
GENE-6841,YES,0,481,492,517,439,518,519
GENE-6993,YES,0,333,365,326,138,110,110
GENE-7126,YES,0,20,18,12,17,22,17
GENE-7224,YES,0,11,19,17,26,14,44
GENE-7288,YES,0,43,45,47,38,34,35
GENE-7297,YES,0,65,60,35,29,17,33
GENE-7374,YES,0,1307,1255,1185,1878,1800,1763
GENE-7382,YES,0,1363,1220,628,93,78,89
GENE-7487,YES,0,11,20,18,113,120,87
GENE-7491,YES,0,425,407,751,358,544,471
GENE-7530,YES,0,689,686,646,3647,7358,5957
GENE-7679,YES,0,18,17,23,18,24,21
GENE-7853,YES,0,1101,861,1147,1552,1701,1733
GENE-7922,YES,0,81,107,62,113,109,129
GENE-8187,YES,0,990,696,658,1562,1700,2286
GENE-8266,YES,0,23,20,37,15,16,18
GENE-8298,YES,0,132,152,135,121,193,140
GENE-8318,YES,0,343,420,556,20,31,20
GENE-8320,YES,0,309,316,368,663,698,768
GENE-8344,YES,0,105,113,89,230,216,195
GENE-8474,YES,0,1107,934,897,282,221,295
GENE-8656,YES,0,111,106,81,147,134,157
GENE-8704,YES,0,1712,1505,1511,2015,2462,2255
GENE-8717,YES,0,40,38,36,314,206,235
GENE-8827,YES,0,73,81,77,8,6,9
GENE-8828,YES,0,6,15,10,366,518,564
GENE-8936,YES,0,42,1,2,20,21,10
GENE-9108,YES,0,592,667,613,1146,1215,1126
GENE-9149,YES,0,195,182,231,2321,2255,2463
GENE-9157,YES,0,2186,2172,2614,633,523,586
GENE-9191,YES,0,3566,5050,2682,1777,2117,1924
GENE-9408,YES,0,10,5,4,18,37,13
GENE-9539,YES,0,60,48,44,205,236,225
GENE-9544,YES,0,55,50,56,15,23,26
GENE-9636,YES,0,275,409,428,4086,2492,3696
GENE-9646,YES,0,41,67,39,60,54,56
GENE-9724,YES,0,126,100,77,217,188,314
GENE-9750,YES,0,100,94,100,51,47,48
GENE-9850,YES,0,326,499,200,1816,1711,1749
GENE-9928,YES,0,116,94,118,143,365,304
GENE-10062,YES,0,415,554,287,180,138,128
GENE-10116,YES,0,2999,2535,2787,309,375,251
GENE-10122,YES,0,159,385,84,47,116,35
GENE-10162,YES,0,135,119,147,160,164,177
GENE-10164,YES,0,84,50,106,71,83,87
GENE-10263,YES,0,114,119,102,277,199,187
GENE-10351,YES,0,920,888,1019,905,833,905
GENE-10374,YES,0,40,57,46,15,26,22
GENE-10421,YES,0,11116,6106,11049,1994,2886,2731
GENE-10559,YES,0,4081,4711,4498,1750,1729,1603
GENE-10628,YES,0,16,12,11,12,29,17
GENE-10643,YES,0,21,29,23,3,1,1
GENE-10769,YES,0,5030,5331,5343,1625,1457,1455
GENE-10819,YES,0,961,645,839,198,199,119
GENE-10825,YES,0,919,1134,993,708,401,1024
GENE-10981,YES,0,525,382,468,996,524,847
GENE-11009,YES,0,1143,1352,2100,226,341,220
GENE-11086,YES,0,37,35,104,28,4,127
GENE-11147,YES,0,165,188,233,349,394,390
GENE-11187,YES,0,1,0,2,61,30,50
GENE-11211,YES,0,117,108,116,33,30,26
GENE-11272,YES,0,24,10,22,12,16,17
GENE-11279,YES,0,190,231,186,390,472,265
GENE-11312,YES,0,381,406,384,241,206,217
GENE-11317,YES,0,92,104,159,45,63,57
GENE-11559,YES,0,56,79,42,43,74,55
GENE-11568,YES,0,726,632,630,891,819,679
GENE-11725,YES,0,38,38,21,624,275,363
GENE-12027,YES,0,160,153,83,3177,3566,5382
GENE-12089,YES,0,45,35,29,159,163,157
GENE-12207,YES,0,111,143,158,459,421,526
GENE-12279,YES,0,63,52,60,44,36,42
GENE-12287,YES,0,2988,3267,2782,279,313,335
GENE-12329,YES,0,115,90,108,245,156,260
GENE-12339,YES,0,96,103,79,110,118,133
GENE-12401,YES,0,784,147,406,70,70,57
GENE-12553,YES,0,320,532,404,429,402,315
GENE-12563,YES,0,721,763,965,27,37,37
GENE-12572,YES,0,313,223,294,52,63,58
GENE-12615,YES,0,35,31,27,68,34,53
GENE-12665,YES,0,570,1498,1168,12335,1766,9427
GENE-12673,YES,0,948,680,637,43,56,27
GENE-12741,YES,0,1,5,2,31,16,27
GENE-12799,YES,0,78,159,157,47,43,61
GENE-12838,YES,0,134,104,199,114,92,103
GENE-12908,YES,0,21,17,15,3,5,14
GENE-12909,YES,0,10,9,7,125,143,110
GENE-13144,YES,0,245,199,216,1048,947,733
GENE-13169,YES,0,17,22,16,135,110,122
GENE-13357,YES,0,367,421,427,518,590,744
GENE-13704,YES,0,285,287,247,178,154,147
GENE-13814,YES,0,238,214,204,64,43,41
GENE-13919,YES,0,246,197,206,505,496,467
GENE-13934,YES,0,45,35,34,6,8,7
GENE-13976,YES,0,410,465,471,113,103,114
GENE-14000,YES,0,9,6,17,7,17,12
GENE-14060,YES,0,82,168,97,1503,1126,2208
GENE-14097,YES,0,1121,588,1189,223,130,95
GENE-14101,YES,0,14,20,11,37,49,35
GENE-14104,YES,0,9,7,2,95,81,100
GENE-14112,YES,0,44,71,39,19,7,13
GENE-14138,YES,0,31,39,44,10,15,16
GENE-14317,YES,0,287,221,209,125,88,76
GENE-14424,YES,0,1695,1011,1370,1173,1357,1168
GENE-14458,YES,0,30,35,21,3,4,7
GENE-14466,YES,0,823,754,880,182,148,173
GENE-14479,YES,0,30,33,42,418,329,168
GENE-14486,YES,0,38,18,57,182,268,220
GENE-14571,YES,0,1747,2141,1815,1517,1199,1306
GENE-14635,YES,0,304,158,139,132,211,113
GENE-14647,YES,0,130,118,141,35,39,45
GENE-14677,YES,0,381,362,398,272,352,389
GENE-14750,YES,0,10035,7536,5309,297,307,362
GENE-14857,YES,0,28,2,6,11,53,132
GENE-14894,YES,0,145,119,136,21,23,18
GENE-14941,YES,0,762,735,683,334,327,301
GENE-14951,YES,0,80,52,57,379,135,198
GENE-15129,YES,0,1824,2124,1691,247,230,193
GENE-15160,YES,0,47,61,69,342,314,285
GENE-15180,YES,0,7,2,7,16,24,22
GENE-15219,YES,0,2475,2496,2099,2592,2574,2695
GENE-15241,YES,0,33,29,26,274,255,217
GENE-15284,YES,0,23,22,20,4,8,6
GENE-15532,YES,0,0,10,7,39,1,66
GENE-15535,YES,0,103,87,117,753,784,659
GENE-15647,YES,0,1379,934,772,257,275,362
GENE-15693,YES,0,12,10,10,17,30,9
GENE-15744,YES,0,232,248,192,223,167,175
GENE-15780,YES,0,62,86,121,341,278,340
GENE-15785,YES,0,66,58,55,174,184,215
GENE-15798,YES,0,13,15,19,13,23,19
GENE-15874,YES,0,7,6,9,64,144,131
GENE-15908,YES,0,38,25,24,165,150,194
GENE-15940,YES,0,25,36,48,504,385,163
GENE-16022,YES,0,2,5,10,64,60,53
GENE-16036,YES,0,3978,1795,2941,440,851,1181
GENE-16108,YES,0,506,378,611,541,425,473
GENE-16119,YES,0,17,23,13,10,9,16
GENE-16200,YES,0,9,13,12,12,14,7
GENE-16202,YES,0,4672,4763,3831,373,439,425
GENE-16272,YES,0,34,32,30,114,68,103
GENE-16344,YES,0,79,79,122,172,203,109
GENE-16482,YES,0,325,272,353,1150,1006,1086
GENE-16486,YES,0,30,17,18,3,6,9
GENE-16556,YES,0,2235,2361,1426,9305,7996,16643
GENE-16586,YES,0,5949,3692,3500,347,547,405
GENE-16612,YES,0,207,193,144,203,179,184
GENE-16635,YES,0,24,21,14,1,0,0
GENE-16638,YES,0,403,426,281,1368,1239,1134
GENE-16816,YES,0,443,392,389,188,173,155
GENE-16891,YES,0,328,74,115,14,25,14
GENE-17145,YES,0,31,4,1,6,24,4
GENE-17205,YES,0,51,164,92,3,4,4
GENE-17231,YES,0,48,46,45,12,12,14
GENE-17359,YES,0,5,4,7,16,17,26
GENE-17465,YES,0,250,232,248,537,610,579
GENE-17526,YES,0,19,30,21,126,139,160
GENE-17644,YES,0,18,23,30,22,13,13
GENE-17698,YES,0,1085,1249,1305,218,197,201
